Name,Company Name,Company Name#,Address,Place,Zip,Sector,Product,Website,Region,Place.1,1,2,Unnamed: 12,Phone Number,Website2
aditya solar power industries,Aditya Solar Power Industries,Aditya Solar Power Industries,,India,,Solar,Bangalore-based solar project developer.,,,India,,,,NA,NA
adobe solar,Adobe Solar,Adobe Solar,,"Denver, Colorado",,Solar,solar electric systems,http://www.adobesolar.com,Rockies Area,Denver, Colorado,,,303-339-0308,www.adobesolar.com 
advance power co,Advance Power Co,Advance Power Co,,"Calpella, California",95418,"Hydro,Solar,Wind energy","Distributor of stand alone and backup power systems based on solar, hydro, wind and fuel cell energy.",,,Calpella, California,,,NA,NA
advanced distributed generation llc,Advanced Distributed Generation LLC,Advanced Distributed Generation LLC,"200 West Scott Park Drive, MS # 410","Toledo, Ohio",43607,Solar,Agriculture; Consulting; Installation; Maintenance and repair; Retail product sales and distribution,http://www.advanced-dg.com,,Toledo, Ohio,,,419-725-3401,www.advanced-dg.com 
advanced energy,Advanced Energy,Advanced Energy,1625 Sharp Point Drive,"Fort Collins, Colorado",80525,Solar,"Solar cell, passive-solar architectural glass, solar grid-tie inverter, semiconductor, flat panel display, data storage",http://www.advanced-energy.com/,Rockies Area,Fort Collins, Colorado,,,NA,www.advanced-energy.com/ 
advanced energy industries inc,Advanced Energy Industries Inc,Advanced Energy Industries Inc,,"Fort Collins, Colorado",80525,Solar,US-based manufacturer of power conversion and control systems for the semiconductor and solar industries. The company also manufactures PV inverters and accessories.,,,Fort Collins, Colorado,,,NA,NA
advanced energy solutions,Advanced Energy Solutions,Advanced Energy Solutions,192 Gates Road,"Pomona, Illinois",62975,Solar,,http://www.aessolar.com/,,Pomona, Illinois,,,618-893-1717,www.aessolar.com/ 
advanced solar llc.,Advanced Solar LLC.,Advanced Solar LLC.,139 E. Lincoln Street,"Westerville, Ohio",43081,"Geothermal energy,Renewable Energy,Solar,Wind energy",Agriculture; Consulting; Engineering/architectural/design;Installation; Maintenance and repair,http://advancedsolaroh.com,,Westerville, Ohio,,,614-901-4035,NA
advanced solar power inc.,Advanced Solar Power Inc.,Advanced Solar Power Inc.,,"New York, New York",,Solar,"Solar electric systems, solar hot water",http://solarli.com/index.html,Northeast - NY NJ CT PA Area,New York, New York,,,(631) 765-2754,NA
advanced solar technologies inc,Advanced Solar Technologies Inc,Advanced Solar Technologies Inc,,"San Diego, California",,Solar,California-based domestic and commercial designer and installer of solar energy equipment.,,,San Diego, California,,,NA,NA
advantage solar inc,Advantage Solar Inc,Advantage Solar Inc,,California,92394,Solar,Dealer in solar equipment and consultant in maintaining installed solar equipment.,,,California,,,,,
ae polysilicon corporation ae,AE Polysilicon Corporation AE,AE Polysilicon Corporation AE,,"Chatham, New Jersey",7928,Solar,New Jersey-based polysilicon manufacturer for solar and semiconductor sectors.,,,Chatham, New Jersey,,,,
aee renewables,AEE Renewables,AEE Renewables,,"Ann Arbor, Michigan",,Solar,,http://aee-renewables.com,,Ann Arbor, Michigan,,,2027166664,NA
aee solar,AEE Solar,AEE Solar,"1155 Redway Drive
PO Box 339","Redway, California",95560,Solar,,http://www.aeesolar.com/,Bay Area,Redway, California,,,800-777-6609,www.aeesolar.com/ 
aee solar inc formerly alternative energy engineering,AEE Solar Inc formerly Alternative Energy Engineering,AEE Solar Inc formerly Alternative Energy Engineering,,"Redway, California",95560,"Hydro,Solar,Wind energy","US-based wholesale distributor of solar, wind and hydroelectric systems, parts and components.",,,Redway, California,,,,
aerojet,Aerojet,Aerojet,,"Sacramento, California",95813,Solar,California-based defense and aerospace company. The firm is also an owner of solar PV system on facilities.,,,Sacramento, California,,,NA,NA
aes corporation,AES Corporation,AES Corporation,,"Arlington, Virginia",22203,"Biomass,Carbon,Solar,Wind energy","Virginia-based company that generates and distributes electrical power. The company has investments in various wind, biomass, carbon offset, solar and power storage projects.",,,Arlington, Virginia,,,NA,NA
affordable solar hot water and power llc,Affordable Solar Hot Water and Power LLC,Affordable Solar Hot Water and Power LLC,,"Dothan, Alabama",36305,Solar,Solar and Energy Efficiency for buildings and homes,http://www.asolarpro.com,,Dothan, Alabama,,,334-828-1024,www.asolarpro.com 
african energy,African Energy,African Energy,,"Scottsdale, Arizona",85267,Solar,"African Energy is a wholesale distributor of back-up and solar power equipment, exclusively for Africa.",,,Scottsdale, Arizona,,,NA,NA
"agenera, llc","Agenera, LLC","Agenera, LLC",P.O. Box 15544,"Phoenix, Arizona",85060,Solar,Solar energy systems,http://www.agenera.com/,,Phoenix, Arizona,,,602-445-6498,www.agenera.com/ 
aha macav power service inc amps,Aha Macav Power Service Inc AMPS,Aha Macav Power Service Inc AMPS,,"Mohave Valley, Arizona",86446,Solar,"Tribal utility, conducting a pre-feasibility study with Enviromission to build a solar thermal electricity generating chimney.",,,Mohave Valley, Arizona,,,,
ahura energy concentrating systems inc.,Ahura Energy Concentrating Systems Inc.,Ahura Energy Concentrating Systems Inc.,,San jose,95134,"Renewable Energy,Solar","CPV, CST and Hybrid CPV and CST",,,San jose,,,,NA,NA
ahura energy inc,Ahura Energy Inc,Ahura Energy Inc,,"Saratoga, California",95070,"Efficiency,Solar","Ahura Energy is a privately held corporation formed in 2006 seeking to raise early stage venture capital financing. The company is developing a low-cost, high efficiency solar/thermal concentrating system.",,,Saratoga, California,,,,
airvoice sjvnl jv,Airvoice SJVNL JV,Airvoice SJVNL JV,,India,,"Solar,Wind energy",India-based JV to develop wind and solar projects.,,,India,,,,,
akeena solar,Akeena Solar,Akeena Solar,16005 Los Gatos Blvd.,"Los Gatos, California",95032,Solar,"Solar power systems, products",http://www.akeena.com/,,Los Gatos, California,,,408-402-9400,www.akeena.com/ 
akeena solar inc,Akeena Solar Inc,Akeena Solar Inc,,"Los Gatos, California",CA 95032,Solar,Residential and commercial solar electric system installer in the US.,,,Los Gatos, California,,,NA,NA
akrion inc,Akrion Inc,Akrion Inc,,"Allentown, Pennsylvania",18106,Solar,US-based manufacturer of surface preparation equipment for semiconductor industry; offers also to solar.,,,Allentown, Pennsylvania,,,NA,NA
aldacor,ALDACOR,ALDACOR,"1820 E. 17th St
Suite 260","Idaho Falls, Idaho,United States",83404,"Buildings,Efficiency,Geothermal energy,Hydro,Renewable Energy,Services,Solar,Wind energy",,http://www.aldacor.com,,Idaho Falls, Idaho,United States,,208 552-5202,www.aldacor.com 
aldacor inc,ALDACOR INC,ALDACOR INC,"1820 E. 17th St
Suite 260","Idaho Falls, ID,United States",83404,"Geothermal energy,Hydro,Renewable Energy,Services,Solar,Wind energy",,http://www.aldacor.com,,Idaho Falls, ID,United States,,NA,www.aldacor.com 
"all solar power, inc.","All Solar Power, Inc.","All Solar Power, Inc.",,"Tampa, Florida",,Solar,,http://www.allsolar.com/,,Tampa, Florida,,,"27.952294256°, -82.4665546417° Show Map",www.allsolar.com/ 
"all solar, inc.","All Solar, Inc.","All Solar, Inc.",1463 M St,Penrose CO,81240,Solar,,http://www.asolarelectric.com,,Penrose CO,,,,719-372-3808,www.asolarelectric.com 
allco renewable energy group limited llc,Allco Renewable Energy Group Limited LLC,Allco Renewable Energy Group Limited LLC,,"New York, New York",10005,"Biomass,Solar,Wind energy","A New York City-based wind, solar, and biomass project developer that no longer has any direct ties to Allco Finance Group of Australia or its subsidiaries.",,,New York, New York,,,,
allied sun technologies,Allied Sun Technologies,Allied Sun Technologies,"6881 Alvarado Road, Suite 4","San Diego, California",92120,Solar,solar power systems,http://www.alliedsun.com,Southern CA Area,San Diego, California,,,NA,www.alliedsun.com 
allsolar service company inc.,AllSolar Service Company Inc.,AllSolar Service Company Inc.,1507 Damon Ave.,"Kissimmee, Florida",34744,Solar,solar energy systems,http://www.allsolarflorida.com/,,Kissimmee, Florida,,,NA,www.allsolarflorida.com/ 
"allwest energy, inc.","AllWest Energy, Inc.","AllWest Energy, Inc.",16847 E. Parkview Ave,"Fountain Hills, Arizona",85268,Solar,Solar electric systems,http://www.allwestenergy.com/,,Fountain Hills, Arizona,,,480-836-1110,www.allwestenergy.com/ 
alpha technologies,Alpha Technologies,Alpha Technologies,,"Bellingham, Washington State",98226,"Services,Solar","Bellingham (WA)-based firm offering, among other products, power conversion products designed specifically for the PV market, plus installation services for solar systems.",,,Bellingham, Washington State,,,NA,NA
alte,AltE,AltE,43 Broad Street,"Hudson, Massachusetts",1749,Solar,Distributor of renewable energy parts and kits,http://store.altestore.com/,Greater Boston Area,Hudson, Massachusetts,,,NA,NA
alten products company,Alten Products Company,Alten Products Company,2423 Old Middlefield Way Suite J,"Mountain View, California,United States",94043-2348,"Renewable Energy,Solar",solar energy products,,Bay Area,Mountain View, California,United States,,,
alteris renewables,Alteris Renewables,Alteris Renewables,523 Danbury Rd,"Wilton, Connecticut",6897,Solar,Renewable energy systems integrator,http://www.alterisinc.com/index.php,Northeast - NY NJ CT PA Area,Wilton, Connecticut,,,NA,www.alterisinc.com/index.php 
alteris renewables inc formerly solar works inc,Alteris Renewables Inc formerly Solar Works Inc,Alteris Renewables Inc formerly Solar Works Inc,,"Wilton, Connecticut",,"Renewable Energy,Solar",Connecticut-based renewable energy systems integrator and project developer formed through the merger between Solar Works and SolarWrights.,,,Wilton, Connecticut,,,,
alternate energy llc,Alternate Energy LLC,Alternate Energy LLC,803 Ahua Street,"Honolulu, Hawaii,United States",96819,"Services,Solar",Distributer; installs and services solar products.,http://www.alternateenergyhawaii.com/,,Honolulu, Hawaii,United States,,,
alternative concepts and technology,Alternative Concepts and Technology,Alternative Concepts and Technology,,"Orlando, Florida",,Solar,"solar power, water catchments, organic gardening",http://www.alternativeconcepts.org/,,Orlando, Florida,,,NA,www.alternativeconcepts.org/ 
alternative energy inc,Alternative Energy Inc,Alternative Energy Inc,,"Santa Rosa, California",95407,Solar,Focussed on design and installation of solar PV systems.,,,Santa Rosa, California,,,NA,NA
alternative power enterprises,Alternative Power Enterprises,Alternative Power Enterprises,P.O. Box 351,"Ridgway, Colorado",81432,Solar,Design cost effective power solutions for on- and off-grid locations,http://www.alternative-power.com/,Rockies Area,Ridgway, Colorado,,,NA,www.alternative-power.com/ 
altpower inc,AltPower Inc,AltPower Inc,,"New York, New York",70420,"Renewable Energy,Solar",A specialist installer of all fields of renewable energy systems but mainly solar.,,,New York, New York,,,NA,NA
ambient control systems,Ambient Control Systems,Ambient Control Systems,1810 Gillespie Way,"El Cajon, California",92020,Solar,Solar energy device with a computerized energy management,http://www.ambientalert.com/main.html,Southern CA Area,El Cajon, California,,,NA,www.ambientalert.com/main.html 
ameco solar,AMECO Solar,AMECO Solar,7623 Somerset Blvd.,"Paramount, California,United States",90723,Solar,,http://www.solarexpert.com,,Paramount, California,United States,,888-595-9570,https://www.facebook.com/AmecoSolar/
ameco solar,AMECO Solar,AMECO Solar,7623 Somerset Blvd.,"Paramount, California,United States",90723,Solar,,http://www.solarexpert.com,,Paramount, California,United States,,888-595-9570,https://www.facebook.com/AmecoSolar/
ameco solar,Ameco Solar,Ameco Solar,7623 Somerset Blvd.,"Paramount, California,United States",90723,Solar,"Ameco is a licensed solar energy contractor operating principally in Los Angeles and Orange Counties. Ameco designs, installs and repairs solar energy systems for homes and businesses in Southern California. CA State License No. 483280",http://www.solarexpert.com,,Paramount, California,United States,,888-595-9570,https://www.facebook.com/AmecoSolar/
ameco solar,Ameco Solar,Ameco Solar,7623 Somerset Blvd.,"Paramount, California,United States",90723,Solar,"Ameco is a licensed solar energy contractor operating principally in Los Angeles and Orange Counties. Ameco designs, installs and repairs solar energy systems for homes and businesses in Southern California. CA State License No. 483280",http://www.solarexpert.com,,Paramount, California,United States,,888-595-9570,https://www.facebook.com/AmecoSolar/
"ameresco, inc.","Ameresco, Inc.","Ameresco, Inc.","111 Speen St, Ste 410","Framingham, Massachusetts",1701,"Biomass,Buildings,Efficiency,Geothermal energy,Renewable Energy,Services,Solar,Wind energy",Energy Services; Energy Consulting; Energy Audits; Electricity Efficiency; Water Efficiency; Weatherization; ; Engineering/design; Installation; Investment; Finance,http://www.ameresco.com,Greater Boston Area,Framingham, Massachusetts,,,NA,www.ameresco.com 
american capital energy,American Capital Energy,American Capital Energy,15 Tyngsboro Rd. Suite 4A,"North Chelmsford, Massachusetts",1863,Solar,solar electric systems,http://www.americancapitalenergy.com/,Greater Boston Area,North Chelmsford, Massachusetts,,,(866) 307-5370,www.americancapitalenergy.com/ 
american energy power systems inc aeps,American Energy Power Systems Inc AEPS,American Energy Power Systems Inc AEPS,,"Sacramento, California",,Solar,"Offered distributed power systems including PV panels, solar water heating, fuel cells and radiant floor heating applications.",,,Sacramento, California,,,,
american photovoltaics,American Photovoltaics,American Photovoltaics,,"Houston, Texas",77002,Solar,Will manufacture thin-film solar modules,http://apv-us.com/,Texas Area,Houston, Texas,,,NA,NA
american renewable energy,American Renewable Energy,American Renewable Energy,,"Evanston, Illinois",60202,"Geothermal energy,Renewable Energy,Solar","American Renewable Energy is a manufacturer and distributor of micro grids, focusing on geothermal, solar, photovoltaic, and solarthermal energy.",,,Evanston, Illinois,,,NA,NA
"american solar electric, inc.","American Solar Electric, Inc.","American Solar Electric, Inc.","1475 N. Scottsdale Rd., Suite #410","Scottsdale, Arizona",85257,Solar,Solar electric systems,http://www.americanpv.com/,,Scottsdale, Arizona,,,480-994-1440,www.americanpv.com/ 
american solar energy,American Solar Energy,American Solar Energy,"11497 Columbia Drive West, Suite 10","Jacksonville, Florida",32258,Solar,solar energy systems,http://americansolarenergy.com/,,Jacksonville, Florida,,,904-268-8046,NA
american solar energy society ases,American Solar Energy Society ASES,American Solar Energy Society ASES,,"Boulder, Colorado",80301,Solar,Dedicated to advancing the use of solar energy for the benefit of U.S. citizens and the global environment.,,,Boulder, Colorado,,,,
american solar technology,American Solar Technology,American Solar Technology,5265 Turquoise Drive,"Colorado Springs, Colorado",80918,Solar,Solar installer,,Rockies Area,Colorado Springs, Colorado,,,NA,NA
americans for solar power aspv,Americans for Solar Power ASPv,Americans for Solar Power ASPv,,"Tempe, Arizona",85282,Solar,Americans for Solar Power (ASPv) strives to make solar power economic and convenient for American electricity consumers to generate and consume their own solar electricity.,,,Tempe, Arizona,,,,
americans for solar power pv manufacturers alliance aspv pvma,Americans for Solar Power PV Manufacturers Alliance ASPv PVMA,Americans for Solar Power PV Manufacturers Alliance ASPv PVMA,,"Tempe, Arizona",85282,Solar,"A non-profit research and education body aimed at creating the right market structures and programs to enable residential, commercial, governmental and industrial electricity consumers to have solar power options.",,,Tempe, Arizona,,,,
ameridian speciality services,Ameridian Speciality Services,Ameridian Speciality Services,,"Cincinnati, Ohio",45241,Solar,"Ohio-based general contracting firm that specializes in commercial roof installation. The company is involved in solar PV rooftop design, installation and project management.",,,Cincinnati, Ohio,,,NA,NA
ampulse corporation,Ampulse Corporation,Ampulse Corporation,1767-A Denver West Boulevard,"Golden, Colorado",80401,Solar,Thin-Film PV,http://www.ampulse.com/,Rockies Area,Golden, Colorado,,,NA,www.ampulse.com/ 
amsolar,AMSOLAR,AMSOLAR,"415 S. Cedros Avenue, Suite 200","Solana Beach, California",92075,Solar,"US-based engineering contractor provides all of the engineering, installation, operation and maintenance of the solar energy facility.",http://www.amsolarcorp.com/,,Solana Beach, California,,,NA,www.amsolarcorp.com/ 
amtech systems inc,Amtech Systems Inc,Amtech Systems Inc,,"Tempe, Arizona",85281,Solar,"US-based manufacturer of capital equipment such as wafer handling automation, thermal semiconductor processing equipment, and related consumables for semiconductor and solar industries.",,,Tempe, Arizona,,,NA,NA
anuvu inc,Anuvu Inc,Anuvu Inc,,"Sacramento, California",95838,Solar,"Energy infrastructure supplier. Designs and manufactures fuel cell stacks, fuel cell engines and systems, and provides custom solutions. Has solar subsidiary.",,,Sacramento, California,,,NA,NA
anv partners,ANV Partners,ANV Partners,,"Denver, Colorado",80202,"Hydro,Hydrogen,Services,Solar,Wind energy",,,,Denver, Colorado,,,NA,NA
aonex technologies inc,Aonex Technologies Inc,Aonex Technologies Inc,,"Pasadena, California",91106,Solar,Focused on commercialising a manufacturing method for semiconductor nanomaterials - specifically solar cells.,,,Pasadena, California,,,NA,NA
apollo solar energy inc,Apollo Solar Energy Inc,Apollo Solar Energy Inc,,"Bethel, Connecticut",68010,Solar,,,,Bethel, Connecticut,,,NA,NA
applied films corporation,Applied Films Corporation,Applied Films Corporation,,"Longmont, Colorado",80504,"Services,Solar","Provider of thin film deposition equipment and services, particularly to the solar industry.",,,Longmont, Colorado,,,NA,NA
applied materials,Applied Materials,Applied Materials,3050 Bowers Avenue,"Santa Clara, California",95054,Solar,,http://www.appliedmaterials.com/,,Santa Clara, California,,,NA,www.appliedmaterials.com/ 
applied materials inc amat,Applied Materials Inc AMAT,Applied Materials Inc AMAT,,"Santa Clara, California",95052-8039,Solar,"US-based manufacturer of equipment used in solar (silicon, thin-film, BIPV), semiconductor, and LCD markets.",,,Santa Clara, California,,,,
applied solar llc formerly open energy corp and barnabus energy inc,Applied Solar LLC formerly Open Energy Corp and Barnabus Energy Inc,Applied Solar LLC formerly Open Energy Corp and Barnabus Energy Inc,,"San Diego, California",92121,Solar,"Offers an integrated portfolio of building-integrated PV products such as solar tiles, membranes and asphalt/composition products; also holds license to build concentrating solar power systems.",,,San Diego, California,,,,
arizona solar tech,Arizona Solar Tech,Arizona Solar Tech,,"Phoenix, Arizona",85040,"Solar,Vehicles","Designs and installs solar PV systems for vehicles, domestic and light industrial applications.",,,Phoenix, Arizona,,,NA,NA
arizona state university tuv rheinland jv,Arizona State University TUV Rheinland JV,Arizona State University TUV Rheinland JV,,,,Solar,Solar JV formed for technology testing and certification.,,,,,,,,
armageddon energy inc,Armageddon Energy Inc,Armageddon Energy Inc,,"San Francisco, California",,Solar,California-based maker of SolarClover brand PV modules.,,,San Francisco, California,,,NA,NA
armstrong teasdale future energy group,Armstrong Teasdale Future Energy Group,Armstrong Teasdale Future Energy Group,"7700 Forsyth Boulevard, Suite 1800","St. Louis, Missouri",63105,"Biofuels,Biomass,Buildings,Carbon,Efficiency,Geothermal energy,Hydro,Hydrogen,Services,Solar,Vehicles,Wind energy,Bioenergy,Renewable energy",Legal Services,http://www.armstrongteasdale.com/PracticeAreas/FutureEnergyGroup/index.php,,St. Louis, Missouri,,,314.621.5070,www.armstrongteasdale.com/Prac 
array technologies inc aka wattsun,Array Technologies Inc aka Wattsun,Array Technologies Inc aka Wattsun,,"Albuquerque,, New Mexico",87107,Solar,"Manufactures the Wattsun Solar Tracker, a sun-tracking mounting system for PV modules.",,,Albuquerque,, New Mexico,,,
ascendant energy company inc,Ascendant Energy Company Inc,Ascendant Energy Company Inc,,"Rockland, Maine",4841,Solar,"Manufactures and distributes solar thermal heat, hot water systems, and PV panels, but is also designing its own concentrated PV device.",,,Rockland, Maine,,,NA,NA
ascent solar,Ascent Solar,Ascent Solar,12300 Grant Street,"Thornton, Colorado",80241,Solar,Thin-Film PV,http://www.ascentsolar.com/,Rockies Area,Thornton, Colorado,,,NA," http://www.pv-tech.org/news/does_nrel_selects_ascent_solar_for_project_award
"
ascent solar technologies inc,Ascent Solar Technologies Inc,Ascent Solar Technologies Inc,,"Littleton, Colorado",80127-4107,Solar,Ascent Solar develops and plans to manufacture CIGS thin-film solar cells and modules for the satellite and high-altitude airship (â€œHAAâ€?) markets.,,,Littleton, Colorado,,,NA,NA
aspen solar,Aspen Solar,Aspen Solar,P.O. Box 2391,"Aspen, Colorado",80612,Solar,"Design, installation & maintenance of active, passive, and photovoltaic energy systems",http://www.aspensolar.com/,Rockies Area,Aspen, Colorado,,,NA,www.aspensolar.com/ 
aston solar llc,Aston Solar LLC,Aston Solar LLC,,"Piscataway, New Jersey",8854,Solar,New Jersey-based solar energy service company.,,,Piscataway, New Jersey,,,NA,NA
astonfield renewable resources ltd arrl,Astonfield Renewable Resources Ltd ARRL,Astonfield Renewable Resources Ltd ARRL,,"New York, New York",10017,"Biomass,Solar","New York-based firm with major interest in solar, biomass and waste to energy projects in India.",,,New York, New York,,,,
astralux,Astralux,Astralux,2500 Central Avenue,"Boulder, Colorado",80301,Solar,Residential and Commercial Solar PV,http://www.AstraluxSolar.com,Rockies Area,Boulder, Colorado,,,,
astrowatt,AstroWatt,AstroWatt,,"Austin, Texas",,Solar,Texas-based venture backed company developing a proprietary solar cell technology.,,,Austin, Texas,,,NA,NA
atlantic wind solar inc,Atlantic Wind Solar Inc,Atlantic Wind Solar Inc,,"Coconut Groove, Florida",33133,"Solar,Wind energy","Florida-based installer of distributed wind and solar systems along with wind and solar-hyrbid energy systems in Canada, the US and the Bahamas.",,,Coconut Groove, Florida,,,,
atlas solar innovations,Atlas Solar Innovations,Atlas Solar Innovations,2640 NW 15th Court,"Pompano Beach, Florida",33069,Solar,Solar Photovoltaics,http://atlassolarinnovations.com/,,Pompano Beach, Florida,,,888-756-9505,NA
aurora photovoltaics manufacturing,Aurora Photovoltaics Manufacturing,Aurora Photovoltaics Manufacturing,,"Lawrenceville, New Jersey",8648,Solar,"A subsidiary of EPV solar, based in New Jersey, focused on manufacturing of PV cells.",,,Lawrenceville, New Jersey,,,NA,NA
