,Name,Phone Number,Website2,Company Name,Company Name#,Address,Place,Zip,Sector,Product,Website,Region,Place.1,1,2,Unnamed: 12
0,"Solaris Technology Industry, Inc.",720-474-6050,https://www.facebook.com/solarisshopcom,"Solaris Technology Industry, Inc.","Solaris Technology Industry, Inc.",14405 W Colfax Ave # 288,"Lakewood, Colorado,United States",80401,"Renewable Energy,Solar","Solar Panels, Inverters, Charge Controllers, Batteries, Solar Power Systems, Parts & Accessories",http://www.solaris-shop.com,,Lakewood, Colorado,United States,
0,Wave Energy - Efficiency Solutions,3219142347,https://www.facebook.com/gowaveenergy/,Wave Energy - Efficiency Solutions,Wave Energy - Efficiency Solutions,1961 Palmer Dr.,"Melbourne, Florida,United States",32935,"Buildings,Efficiency,Solar","Solar PV, Energy Efficient Upgrades",http://www.gowaveenergy.com,,Melbourne, Florida,United States,
0,ALDACOR INC,NA,www.aldacor.com ,ALDACOR INC,ALDACOR INC,"1820 E. 17th St
Suite 260","Idaho Falls, ID,United States",83404,"Geothermal energy,Hydro,Renewable Energy,Services,Solar,Wind energy",,http://www.aldacor.com,,Idaho Falls, ID,United States,
0,Inovus,(208) 908-0627,www.inovussolar.com ,Inovus,Inovus,"3380 West Americana Terrace, Suite 230","Boise, Idaho,United States",83706,Solar,http://www.inovussolar.com/solar-street-lighting-products/,http://www.inovussolar.com,Pacific Northwest Area,Boise, Idaho,United States,
0,ALDACOR,208 552-5202,www.aldacor.com ,ALDACOR,ALDACOR,"1820 E. 17th St
Suite 260","Idaho Falls, Idaho,United States",83404,"Buildings,Efficiency,Geothermal energy,Hydro,Renewable Energy,Services,Solar,Wind energy",,http://www.aldacor.com,,Idaho Falls, Idaho,United States,
0,Illinois Institute for Rural Affairs,(309)298-2237,www.iira.org ,Illinois Institute for Rural Affairs,Illinois Institute for Rural Affairs,,"Macomb, Illinois,United States",61455,"Bioenergy,Biofuels,Efficiency,Renewable Energy,Services,Solar,Wind energy",,http://www.iira.org,,Macomb, Illinois,United States,
0,Patriot Solar Group,NA,www.patriotsolargroup.com ,Patriot Solar Group,Patriot Solar Group,1007 INDUSTRIAL BLVD.,"ALBION, Michigan,United States",49224,"Renewable Energy,Solar","MOUNTING SYSTEMS, EPC, INSTALLATIONS",http://www.patriotsolargroup.com,,ALBION, Michigan,United States,
0,SolarSkies,NA,NA,SolarSkies,SolarSkies,106 Donovan Drive,"Alexandria, Minnesota,United States",56308,Solar,,,,Alexandria, Minnesota,United States,
0,Microgrid Energy,888-734-3033,www.microgridenergy.com ,Microgrid Energy,Microgrid Energy,8001 Forsyth Blvd.,"St. Louis, Missouri,United States",63105,"Efficiency,Renewable Energy,Solar,Wind energy",EPC Solar and EE,http://www.microgridenergy.com,,St. Louis, Missouri,United States,
0,Wanzek Construction,2816064172,www.wanzek.com ,Wanzek Construction,Wanzek Construction,2028 2nd Avenue NW,"West Fargo, ND,United States",58078,"Geothermal energy,Renewable Energy,Solar,Wind energy",Turnkey Construction Services,http://www.wanzek.com,Texas Area,West Fargo, ND,United States,
0,RBI Solar Inc,513 242-0816,www.rbisolar.com ,RBI Solar Inc,RBI Solar Inc,5513 Vine Street,"Cincinnati, Ohio,United States",45217,"Renewable Energy,Services,Solar",Solar Mounting Systems,http://www.rbisolar.com,,Cincinnati, Ohio,United States,
0,The Utilities Group Inc,513-481-7954,www.theutilitiesgroup.com ,The Utilities Group Inc,The Utilities Group Inc,"11260 Chester Rd, Suite 540","Cincinnati, Ohio,United States",45246,"Biomass,Buildings,Efficiency,Renewable Energy,Services,Solar,Transmission,Wind energy",Energy Procurement;Real Time Energy Monitoring;Business and legal services;Consulting;Energy audits/weatherization;Engineering/architectural/design;Installation;Investment/finances;Trainining and education,http://www.theutilitiesgroup.com,,Cincinnati, Ohio,United States,
0,Ultimate Best Buy LLC,513-413-1319,www.ultimatebestbuy.com ,Ultimate Best Buy LLC,Ultimate Best Buy LLC,,"Lebanon, Ohio,United States",45036,"Efficiency,Renewable Energy,Services,Solar",,http://www.ultimatebestbuy.com,,Lebanon, Ohio,United States,
0,"Eco Energy International, LLC",1-419-522-4444,https://www.facebook.com/ecohydrogen,"Eco Energy International, LLC","Eco Energy International, LLC",233 Park Ave East,"Mansfield, Ohio,United States",44902,"Bioenergy,Biofuels,Biomass,Hydrogen,Renewable Energy,Solar,Wind energy",,http://www.EcoEnergyInternational.com,,Mansfield, Ohio,United States,
0,Elemental Energy,NA,www.elementalenergy.net ,Elemental Energy,Elemental Energy,14500 SW 92nd Ave,"Portland, Oregon,United States",97224,"Biofuels,Biomass,Buildings,Efficiency,Geothermal energy,Renewable Energy,Solar,Vehicles,Wind energy",,http://www.elementalenergy.net,Pacific Northwest Area,Portland, Oregon,United States,
0,Community Energy Inc,NA,www.communityenergyinc.com/ ,Community Energy Inc,Community Energy Inc,"Three Radnor Corporate Center
100 Matsonford Road, Suite 300","Wayne, Pennsylvania,United States",PA 19087,"Renewable Energy,Solar,Wind energy","CEI develops and invests in wind farms and solar farms in North East USA. It also markets the electricity it produces under the brand ""NewWind Energy"" to consumers.",http://www.communityenergyinc.com/,,Wayne, Pennsylvania,United States,
0,HE Solar LLC,512-921-6763,https://www.facebook.com/hesolarllc/,HE Solar LLC,HE Solar LLC,"100 Precision Drive, Suite 202","Buda, Texas,United States",78610,Solar,,http://www.hesolarllc.com,,Buda, Texas,United States,
0,Polymet Alloys Inc,NA,NA,Polymet Alloys Inc,Polymet Alloys Inc,,"Birmingham, Alabama",35242,Solar,"US-based supplier of ferrous and non-ferrous alloy; offers metallurgical silicon to the solar industry that is exclusively sourced from Brazilian metal producer, Rima Industrial.",,,Birmingham, Alabama,,
0,Affordable Solar Hot Water and Power LLC,334-828-1024,www.asolarpro.com ,Affordable Solar Hot Water and Power LLC,Affordable Solar Hot Water and Power LLC,,"Dothan, Alabama",36305,Solar,Solar and Energy Efficiency for buildings and homes,http://www.asolarpro.com,,Dothan, Alabama,,
0,ACME solar works,877-226-3004,www.acmesolarworks.net/ ,ACME solar works,ACME solar works,20738 Brown Lane,"Summerdale, Alabama",36580,Solar,"Solar power systems, products",http://www.acmesolarworks.net/,,Summerdale, Alabama,,
0,Remote Power Inc.,907-457-4299,www.remotepowerinc.com/ ,Remote Power Inc.,Remote Power Inc.,981 Gold Mine Tr.,"Fairbanks, Alaska",99712,Solar,Solar and wind electric power systems,http://www.remotepowerinc.com/,,Fairbanks, Alaska,,
0,EV Solar Products,(928) 636-2201,www.evsolar.com/ ,EV Solar Products,EV Solar Products,2655 N. Highway 89,"Chino Valley, Arizona",86323,Solar,renewable energy products and services,http://www.evsolar.com/,,Chino Valley, Arizona,,
0,Pacific Blue Energy,NA,NA,Pacific Blue Energy,Pacific Blue Energy,,"Flagstaff, Arizona",86001,Solar,Arizona-based solar project developer.,,,Flagstaff, Arizona,,
0,"AllWest Energy, Inc.",480-836-1110,www.allwestenergy.com/ ,"AllWest Energy, Inc.","AllWest Energy, Inc.",16847 E. Parkview Ave,"Fountain Hills, Arizona",85268,Solar,Solar electric systems,http://www.allwestenergy.com/,,Fountain Hills, Arizona,,
0,Corporate International Operations,NA,NA,Corporate International Operations,Corporate International Operations,,"Fountain Hills, Arizona",AZ 85268,Solar,"Supplier of solar cells, module manufacturing equipment and materials.",,,Fountain Hills, Arizona,,
0,"Dependable Solar Products, Inc.",480-967-7781,www.dependablesolarproducts.co ,"Dependable Solar Products, Inc.","Dependable Solar Products, Inc.","4049 E. Presidio, Suite 127","Mesa, Arizona",85215,Solar,"Solar, Wind, Pool Pumping, Industrial Pumping and Supply and Water Sytems",http://www.dependablesolarproducts.com/,,Mesa, Arizona,,
0,"Agenera, LLC",602-445-6498,www.agenera.com/ ,"Agenera, LLC","Agenera, LLC",P.O. Box 15544,"Phoenix, Arizona",85060,Solar,Solar energy systems,http://www.agenera.com/,,Phoenix, Arizona,,
0,Arizona Solar Tech,NA,NA,Arizona Solar Tech,Arizona Solar Tech,,"Phoenix, Arizona",85040,"Solar,Vehicles","Designs and installs solar PV systems for vehicles, domestic and light industrial applications.",,,Phoenix, Arizona,,
0,EDGE Energy LLC,NA,NA,EDGE Energy LLC,EDGE Energy LLC,,"Phoenix, Arizona",85018,Solar,Arizona-based solar developer focused on building commercial and utility-scale projects throughout the American Southwest.,,,Phoenix, Arizona,,
0,Perfect Power,NA,NA,Perfect Power,Perfect Power,,"Phoenix, Arizona",85028,Solar,"Perfect Power operates the worldâ€™s largest solar power community, GreenWood Ranch Estates, 520 five-acre lots in Arizona.",,,Phoenix, Arizona,,
0,Phasor Energy Company Inc,NA,NA,Phasor Energy Company Inc,Phasor Energy Company Inc,,"Phoenix, Arizona",85046-1627,"Services,Solar",Phasor Energy Company offer a range of engineering and consulting services in the field of solar energy.,,,Phoenix, Arizona,,
0,African Energy,NA,NA,African Energy,African Energy,,"Scottsdale, Arizona",85267,Solar,"African Energy is a wholesale distributor of back-up and solar power equipment, exclusively for Africa.",,,Scottsdale, Arizona,,
0,"American Solar Electric, Inc.",480-994-1440,www.americanpv.com/ ,"American Solar Electric, Inc.","American Solar Electric, Inc.","1475 N. Scottsdale Rd., Suite #410","Scottsdale, Arizona",85257,Solar,Solar electric systems,http://www.americanpv.com/,,Scottsdale, Arizona,,
0,SunRider Solar LLC,NA,NA,SunRider Solar LLC,SunRider Solar LLC,,"Scottsdale, Arizona",85266,"Services,Solar",Arizona-based solar services company providing turnkey solar installations.,,,Scottsdale, Arizona,,
0,Amtech Systems Inc,NA,NA,Amtech Systems Inc,Amtech Systems Inc,,"Tempe, Arizona",85281,Solar,"US-based manufacturer of capital equipment such as wafer handling automation, thermal semiconductor processing equipment, and related consumables for semiconductor and solar industries.",,,Tempe, Arizona,,
0,First Solar,602-414-9300," http://www.nrel.gov/research_review/2007/deployment_thin_film.html
",First Solar,First Solar,"350 West Washington Street, Suite 600","Tempe, Arizona",85281,Solar,Solar energy systems,http://www.firstsolar.com/,,Tempe, Arizona,,
0,Expert Solar Systems,520-749-3538,www.expertsolar.com/ ,Expert Solar Systems,Expert Solar Systems,11700 E. Sneller Vista,"Tucson, Arizona",85749,Solar,Solar energy systems,http://www.expertsolar.com/,,Tucson, Arizona,,
0,GeoInnovation,(520) 615-3883,www.geoinnovation.com/ ,GeoInnovation,GeoInnovation,"2828 N. Country Club, Suite 103","Tucson, Arizona",85716,Solar,,http://www.geoinnovation.com/,,Tucson, Arizona,,
0,"Sundial Energy, Inc.",520-884-5166,www.sundialenergy.com/ ,"Sundial Energy, Inc.","Sundial Energy, Inc.",P.O. Box 1309,"Tucson, Arizona",85702,Solar,BIPV solutions,http://www.sundialenergy.com/,,Tucson, Arizona,,
0,Tempronics,NA,NA,Tempronics,Tempronics,,"Tucson, Arizona",85750,Solar,"Arizona-based developer of nano-scale solid-state cooling and heat conversion devices that have applications for solar, as well as air conditioning, automobiles, aviation, refrigeration, and thermal management for electronics and computer processors.",,,Tucson, Arizona,,
0,"Solar Energy Squared, LLC",501-244-9522,www.solarenergysquared.com ,"Solar Energy Squared, LLC","Solar Energy Squared, LLC","116 Ottenheimer Plaza, President Clinton Avenue","Little Rock, Arkansas",72201,Solar,Utility Scale Solar,http://www.solarenergysquared.com,,Little Rock, Arkansas,,
0,Lighthouse Solar Laguna Beach,(949) 584-4800,www.lighthousesolar.com ,Lighthouse Solar Laguna Beach,Lighthouse Solar Laguna Beach,23151 Alcalde Dr. Suite 2-B,"Laguna Hills, CA",92653,Solar,,http://www.lighthousesolar.com,,Laguna Hills, CA,,
0,Acro Energy,(209) 847-2977,NA,Acro Energy,Acro Energy,598 S. Sierra Ave.,"Oakdale, CA",95361,Solar,solar energy systems,http://acroenergy.com/,Bay Area,Oakdale, CA,,
0,Lighthouse Solar Central Valley,(559) 260-0796,www.lighthousesolar.com ,Lighthouse Solar Central Valley,Lighthouse Solar Central Valley,2135 McCall Ave.,"Selma, CA",93662,Solar,,http://www.lighthousesolar.com,,Selma, CA,,
0,HSC Solar,8882726868,www.mysolarsystem.com ,HSC Solar,HSC Solar,18375 Ventura Blvd. #206,"Tarzana, CA",91356,Solar,Solar Installation,http://www.mysolarsystem.com,Southern CA Area,Tarzana, CA,,
0,"Bloo Solar, Inc",NA,www.bloosolar.com ,"Bloo Solar, Inc","Bloo Solar, Inc",2545 Boatman Avenue,"West Sacramento, CA",95691,Solar,,http://www.bloosolar.com,Bay Area,West Sacramento, CA,,
0,Desert Solar,NA,NA,Desert Solar,Desert Solar,,"Apple Valley, California",92308,"Renewable Energy,Solar","Selling and installing commercial renewable energy projects, mainly solar.",,,Apple Valley, California,,
0,Solar Capital Inc,NA,NA,Solar Capital Inc,Solar Capital Inc,,"Benicia, California",94510,Solar,Start-up investment firm seeking control positions in companies in the solar value chain,,,Benicia, California,,
0,Borrego Solar,NA,www.borregosolar.com/ ,Borrego Solar,Borrego Solar,2560 9th Street,"Berkeley, California",94710,Solar,Design and install solar systems,http://www.borregosolar.com/,Bay Area,Berkeley, California,,
0,Borrego Solar,NA,www.borregosolar.com/ ,Borrego Solar,Borrego Solar,2560 9th Street,"Berkeley, California",94710,Solar,Design and install solar systems,http://www.borregosolar.com/,Bay Area,Berkeley, California,,
0,Helio Micro Utility Inc,NA,www.heliomu.com/ ,Helio Micro Utility Inc,Helio Micro Utility Inc,1827A Fifth Street,"Berkeley, California",94710,Solar,Contracts with solar installers to build and maintain solar power systems,http://www.heliomu.com/,Bay Area,Berkeley, California,,
0,RawSolar,NA,NA,RawSolar,RawSolar,,"Berkeley, California",,Solar,California-based startup aiming to commercialise concentrating solar thermal parabolic dish systems for process heat applications.,,,Berkeley, California,,
0,SolarNexus,(510) 842-7875,www.solarnexus.com ,SolarNexus,SolarNexus,"1563 Solano Ave., Suite 251","Berkeley, California",94707,Solar,SolarHub,http://www.solarnexus.com,Bay Area,Berkeley, California,,
0,Tessera Solar,NA,www.tesserasolar.com/ ,Tessera Solar,Tessera Solar,2600 10th Street,"Berkeley, California",94710,Solar,Developer of utility scale solar power plants based on dish-Stirling engine designs,http://www.tesserasolar.com/,Bay Area,Berkeley, California,,
0,Tessera Solar,NA,www.tesserasolar.com/ ,Tessera Solar,Tessera Solar,2600 10th Street,"Berkeley, California",94710,Solar,Developer of utility scale solar power plants based on dish-Stirling engine designs,http://www.tesserasolar.com/,Bay Area,Berkeley, California,,
0,Chuckawalla Valley State Prison,NA,NA,Chuckawalla Valley State Prison,Chuckawalla Valley State Prison,,"Blythe, California",92226,Solar,"Prison located in Chuckawalla Valley, California. It is a power purchaser of the solar PV array located at the prison, but owned and maintained by SunEdison.",,,Blythe, California,,
0,Solmetric Corporation,NA,NA,Solmetric Corporation,Solmetric Corporation,,"Bolinas, California",94924,Solar,US-based manufacturer of solar test and measuring equipments.,,,Bolinas, California,,
0,KJC Operating Company,NA,NA,KJC Operating Company,KJC Operating Company,,"Boron, California",93516,Solar,"Developed solar thermal electricity generating plants, using Luz technology, in the Mojave Desert.",,,Boron, California,,
0,Lighthouse Solar Diablo Valley,(925) 420-5121,www.lighthousesolar.com ,Lighthouse Solar Diablo Valley,Lighthouse Solar Diablo Valley,2420 Sand Creek Road - C1308,"Brentwood, California",94513,Solar,,http://www.lighthousesolar.com,,Brentwood, California,,
0,Advance Power Co,NA,NA,Advance Power Co,Advance Power Co,,"Calpella, California",95418,"Hydro,Solar,Wind energy","Distributor of stand alone and backup power systems based on solar, hydro, wind and fuel cell energy.",,,Calpella, California,,
0,Real Goods Solar Campbell,408-370-3600,www.realgoodssolar.com ,Real Goods Solar Campbell,Real Goods Solar Campbell,1624 Dell Avenue,"Campbell, California",95008,Solar,,http://www.realgoodssolar.com,,Campbell, California,,
0,Regrid Power,NA,NA,Regrid Power,Regrid Power,,"Campbell, California",95008,"Renewable Energy,Services,Solar","REgrid Power is a renewable energy design, installation, and services company which is specialised in solar photovoltaic systems.",,,Campbell, California,,
0,Solstice Solar Systems LLC,NA,NA,Solstice Solar Systems LLC,Solstice Solar Systems LLC,,"Campbell, California",95008-6906,Solar,US-based manufacturer of PV inverters and wires to connect solar panels.,,,Campbell, California,,
0,Bethel Energy LLC,NA,NA,Bethel Energy LLC,Bethel Energy LLC,,"Cardiff, California",92007,Solar,"Solar thermal electricity generation (STEG) project developer, to use parabolic trough design with syngas made from biofuel as a backup fuel.",,,Cardiff, California,,
0,Solartech Power,NA,NA,Solartech Power,Solartech Power,,"Cerritos, California",90703,Solar,Solartech power is a distributer of solar modules.,,,Cerritos, California,,
0,FAFCO Inc,NA,NA,FAFCO Inc,FAFCO Inc,,"Chico, California",95928,Solar,US manufacturer of solar pool and residential heating using polymer and thermal energy storage.,,,Chico, California,,
0,Solahart All Valley Energy Systems,NA,NA,Solahart All Valley Energy Systems,Solahart All Valley Energy Systems,,"Clovis, California",93612,Solar,Solar contractor installing all types of solar energy.,,,Clovis, California,,
0,Mitsubishi Electric and Electronics USA Inc,NA,NA,Mitsubishi Electric and Electronics USA Inc,Mitsubishi Electric and Electronics USA Inc,,"Cypress, California",90630,Solar,"Markets and supports consumer, commercial and industrial electronic products in US, including solar powered.",,,Cypress, California,,
0,Blue Oak Energy,(530) 747-2026,www.blueoakenergy.com ,Blue Oak Energy,Blue Oak Energy,4614 Second Street,"Davis, California",95618,Solar,"photovoltaics, design and engineering, feasibility studies, turn-key installation, system maintenance, PV products",http://www.blueoakenergy.com,Bay Area,Davis, California,,
0,Verve Solar Consulting,NA,www.vervesolar.com ,Verve Solar Consulting,Verve Solar Consulting,,"Davis, California",95616,Solar,solar business courses,http://www.vervesolar.com,Bay Area,Davis, California,,
0,Ambient Control Systems,NA,www.ambientalert.com/main.html ,Ambient Control Systems,Ambient Control Systems,1810 Gillespie Way,"El Cajon, California",92020,Solar,Solar energy device with a computerized energy management,http://www.ambientalert.com/main.html,Southern CA Area,El Cajon, California,,
0,Solarmer Energy Inc,NA,NA,Solarmer Energy Inc,Solarmer Energy Inc,,"El Monte, California",91731,Solar,California-based developer of polymer solar cells.,,,El Monte, California,,
0,"8minutenergy Renewables, LLC",NA,www.8minutenergy.com ,"8minutenergy Renewables, LLC","8minutenergy Renewables, LLC","111 Woodmere Road, Suite 190","Folsom, California",95630,Solar,California based project developer,http://www.8minutenergy.com,,Folsom, California,,
0,SolarAire LLC,NA,NA,SolarAire LLC,SolarAire LLC,,"Folsom, California",,Solar,Developing a solar thermal air conditioning unit.,,,Folsom, California,,
0,SolarCity,NA,www.solarcity.com/ ,SolarCity,SolarCity,393 Vintage Park Drive,"Foster City, California",94404,Solar,Solar installer,http://www.solarcity.com/,Bay Area,Foster City, California,,
0,SolarCity Corp,NA,NA,SolarCity Corp,SolarCity Corp,,"Foster City, California",94404,Solar,US-based designer and installer of solar systems for domestic and commercial use.,,,Foster City, California,,
0,BizLink Technology,NA,NA,BizLink Technology,BizLink Technology,,"Fremont, California",94538,Solar,"California-based manufacturer of solar modules, junction boxes, connectors and wires.",,,Fremont, California,,
0,"REFUsol, Inc.",NA,NA,"REFUsol, Inc.","REFUsol, Inc.",,"Fremont, California",94538,Solar,Inverters,http://americas.refusol.com/,Bay Area,Fremont, California,,
0,Solyndra,NA,www.solyndra.com ,Solyndra,Solyndra,47700 Kato Road,"Fremont, California",94538,Solar,cylindrical solar panels,http://www.solyndra.com,Bay Area,Fremont, California,,
0,Real Goods Solar Fresno,559-457-8365,www.realgoodssolar.com ,Real Goods Solar Fresno,Real Goods Solar Fresno,3109 N. Miami Avenue #101,"Fresno, California",93727,Solar,,http://www.realgoodssolar.com,,Fresno, California,,
0,Real Goods Solar Fullerton,714-578-5981,www.realgoodssolar.com/ ,Real Goods Solar Fullerton,Real Goods Solar Fullerton,2466 E Fender Ave Unit F,"Fullerton, California",92831,Solar,,http://www.realgoodssolar.com/,,Fullerton, California,,
0,SolarPro Energy International,NA,NA,SolarPro Energy International,SolarPro Energy International,,"Granite Bay, California",95746,Solar,SolarPro Energy installs solar power systems using PV panels for residential and commercial properties.,,,Granite Bay, California,,
0,SMA America,NA,NA,SMA America,SMA America,,"Grass Valley, California",95945,Solar,"Supplies the North and South American markets with the ""Sunny Boy"" solar inverter.",,,Grass Valley, California,,
0,SolarNet,NA,NA,SolarNet,SolarNet,,"Healdsburg, California",95448,Solar,"Solar project developer with subsidiaries involved in the distribution, installation and financing of solar projects.",,,Healdsburg, California,,
0,Stellar Energy Solutions Inc,NA,NA,Stellar Energy Solutions Inc,Stellar Energy Solutions Inc,,"Healdsburg, California",95448,"Renewable Energy,Solar",Turn-key renewable energy solutions provider specializing in solar electric roofing.,,,Healdsburg, California,,
0,808 Investments LLC,NA,NA,808 Investments LLC,808 Investments LLC,,"Huntington Beach, California",92649,Solar,California-based boutique investment banking firm focusing on solar and cogeneration project development or acquisition.,,,Huntington Beach, California,,
0,DRI Companies,NA,NA,DRI Companies,DRI Companies,,"Irvine, California",92614,Solar,"US-based residential and commercial installer of turnkey solar systems, through subsidiary iDRI Energy.",,,Irvine, California,,
0,Microsemi Corp,NA,NA,Microsemi Corp,Microsemi Corp,,"Irvine, California",92614,Solar,"US-based manufacturer of analog mixed signal integrated circuits, semiconductors, and solar inverters.",,,Irvine, California,,
0,Solar Monkey,NA,NA,Solar Monkey,Solar Monkey,,"Irvine, California",92618,Solar,Solar Monkey installs PV systems for commercial and industrial users.,,,Irvine, California,,
0,YBR Solar,NA,www.ybrsolar.com/ ,YBR Solar,YBR Solar,"2223 Avenida de la Playa, Suite 120","La Jolla, California",92037,Solar,Developing a design for a solar cell that is 50% more efficient at converting sunlight to electricity,http://www.ybrsolar.com/,Southern CA Area,La Jolla, California,,
0,New Millennium Power,NA,NA,New Millennium Power,New Millennium Power,,"Laguna Niguel, California",92677,Solar,"Solar system installer and integrator operating in Orange County, California.",,,Laguna Niguel, California,,
0,WePOWER,NA,NA,WePOWER,WePOWER,,"Laguna Niguel, California",92677,"Solar,Wind energy",California-based developer of micro-scale vertical axis wind turbines and hybrid solar-wind energy systems for residential and commercial customers.,,,Laguna Niguel, California,,
0,Solar Maid Ventura County,661-575-5212,www.solarmaidvc.com ,Solar Maid Ventura County,Solar Maid Ventura County,,"Lancaster, California",,Solar,Solar Operations and Maintenance,http://www.solarmaidvc.com,Southern CA Area,Lancaster, California,,
0,Cool Earth Solar,925.454.8506,www.coolearthsolar.com/ ,Cool Earth Solar,Cool Earth Solar,"4659 Las Positas Rd, Bldg C","Livermore, California",94551,Solar,Electricty from High Concentrating PV,http://www.coolearthsolar.com/,Bay Area,Livermore, California,,
0,CIM Group Inc,NA,NA,CIM Group Inc,CIM Group Inc,,"Los Angeles, California",90028,Solar,Los Angeles-based real estate fund manager. The company has purchased a solar project portfolio which they will develop through a newly formed subsidiary also called SKyPower.,,,Los Angeles, California,,
0,Akeena Solar,408-402-9400,www.akeena.com/ ,Akeena Solar,Akeena Solar,16005 Los Gatos Blvd.,"Los Gatos, California",95032,Solar,"Solar power systems, products",http://www.akeena.com/,,Los Gatos, California,,
0,Akeena Solar Inc,NA,NA,Akeena Solar Inc,Akeena Solar Inc,,"Los Gatos, California",CA 95032,Solar,Residential and commercial solar electric system installer in the US.,,,Los Gatos, California,,
0,Mariani Energy Group,NA,NA,Mariani Energy Group,Mariani Energy Group,,"Los Gatos, California",95032,"Renewable Energy,Services,Solar",,,,Los Gatos, California,,
0,Sol Solution,NA,www.Sol-Solution.net,Sol Solution,Sol Solution,,"Los Gatos, California",95030,Solar,"Rainbow Concentrator, Current matching multijunction Solar Cell",http://www.Sol-Solution.net,Bay Area,Los Gatos, California,,
0,Tigo Energy,NA,NA,Tigo Energy,Tigo Energy,,"Los Gatos, California",95032,Solar,"Tigo Energy builds hardware and software intelligence into solar energy installations, making them more efficient, more manageable, and safer.",,,Los Gatos, California,,
0,Solaren Corporation,NA,NA,Solaren Corporation,Solaren Corporation,,"Manhattan Beach, California",90266,Solar,Southern California-based stealth start-up company that intends to develop a project to beam solar power to Earth from satellites in space.,,,Manhattan Beach, California,,
0,Team Solar Inc,NA,NA,Team Solar Inc,Team Solar Inc,,"McClellan, California",95652,Solar,"Team Solar Inc (TSI) is a contracting company based in Sacramento, California that specialises in photovoltaic products and installation. The company was bought by SunEdison of Baltimore, Maryland in August 2006.",,,McClellan, California,,
0,Cnano Technology Ltd,NA,NA,Cnano Technology Ltd,Cnano Technology Ltd,,"Menlo Park, California",94025,"Carbon,Efficiency,Solar",US-based manufacturer of carbon nanotubes that may be embedded into solar cells to improve efficiency.,,,Menlo Park, California,,
0,Solar EnerTech Corporation,NA,NA,Solar EnerTech Corporation,Solar EnerTech Corporation,,"Menlo Park, California",CA 94025,Solar,"Solar cell manufacturer with manufacturing activities in Shanghai and a head office in Menlo Park, California.",,,Menlo Park, California,,
0,Unidym Inc,NA,NA,Unidym Inc,Unidym Inc,,"Menlo Park, California",94025,"Carbon,Solar","Majority-owned subsidiary of Arrowhead Research, developing carbon nanotube technology with possible applications as transparent electrodes for solar systems.",,,Menlo Park, California,,
